page_number,line_up_name,first_name,last_name,party_code,answers
447,Nordjyllands Storkreds,Preben Bang,Henriksen,V,1 1 4 5 4 2 1 5 5 2 4 4 2 4 5 1 2 4 4 4 5 4 5 4 5
448,Nordjyllands Storkreds,Torsten Schack,Pedersen,V,1 1 2 4 5 4 1 5 5 1 4 4 1 4 2 4 1 5 5 2 5 4 4 2 2
449,Nordsjællands Storkreds,Hans,Andersen,V,1 1 2 4 2 4 1 5 4 1 4 4 2 4 4 1 1 5 5 2 5 5 4 2 2
450,Nordsjællands Storkreds,Katarina,Ammitzbøll,V,1 1 4 4 1 4 1 2 4 2 4 5 4 4 4 2 1 4 4 2 4 5 2 2 4
451,Nordsjællands Storkreds,Marianne,Lynghøj,V,1 1 2 4 2 4 1 2 4 2 4 4 4 4 4 2 2 4 4 2 4 5 4 2 4
452,Nordsjællands Storkreds,Sophie,Løhde,V,1 1 2 4 2 4 1 5 4 1 4 5 2 4 5 4 1 5 4 2 5 5 4 2 2
453,Nordsjællands Storkreds,Tue,Villebro,V,1 1 1 2 2 5 1 2 4 2 2 5 2 4 5 2 1 5 4 4 5 5 2 2 5
454,Sjællands Storkreds,Christian Friis,Bach,V,1 1 2 1 4 4 1 2 4 2 4 5 2 4 4 1 1 4 5 2 2 4 1 5 2
455,Sjællands Storkreds,Claus,Bakke,V,1 1 1 4 4 4 1 5 4 2 4 2 2 4 4 1 1 5 5 2 4 5 4 2 2
456,Sjællands Storkreds,Iben,Krog,V,2 2 2 4 5 2 2 4 4 2 4 4 2 4 4 4 2 4 4 4 4 4 2 2 4
457,Sjællands Storkreds,Jacob,Jensen,V,2 1 2 4 4 4 1 5 4 1 4 4 2 5 4 4 1 5 5 2 5 5 4 4 2
458,Sjællands Storkreds,Josefine,Paaske,V,2 2 4 4 2 2 2 4 4 2 4 2 2 4 2 4 2 4 4 2 4 4 4 2 2
459,Sjællands Storkreds,Louise,Elholm,V,1 1 2 4 4 4 1 5 5 2 4 4 2 4 2 2 1 5 5 2 5 2 4 2 2
